id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1000037;Je suis Karl;MOVIE;2021;R;['drama', 'thriller', 'european', 'romance'];5.400000;12.981000;12.981000
tm1000147;Zone 414;MOVIE;2021;R;['scifi', 'thriller'];4.900000;121.561996;121.561996
tm1000185;Squared Love;MOVIE;2021;;['comedy', 'romance'];5.100000;14.920000;14.920000
tm1000166;Wave of Cinema: Surat Dari Timur;MOVIE;2020;;['music'];0.000000;0.660000;0.660000
tm100015;Takers;MOVIE;2010;PG-13;['action', 'crime', 'drama', 'thriller'];6.200000;15.872000;15.872000
tm1000296;New Gods: Nezha Reborn;MOVIE;2021;;['animation', 'action', 'fantasy'];6.800000;3.078000;3.078000
tm1000599;The Last Forest;MOVIE;2021;;['drama', 'documentation'];7.300000;2.176000;2.176000
tm1000551;Namaste Wahala;MOVIE;2020;;['comedy', 'drama', 'romance'];5.100000;2.696000;2.696000
tm1000797;Ride or Die;MOVIE;2021;R;['thriller', 'romance', 'drama'];5.600000;79.299004;79.299004
tm1000619;Radhe Shyam;MOVIE;2022;;['drama', 'romance'];5.300000;5.537000;5.537000
tm100027;Alibaba Aur 40 Chor;MOVIE;1979;;['drama', 'romance', 'action', 'fantasy', 'family'];6.200000;2.582000;2.582000
tm1001095;Roohi;MOVIE;2021;;['comedy', 'horror'];4.300000;3.119000;3.119000
tm1001108;Biggie: I Got a Story to Tell;MOVIE;2021;R;['documentation', 'music'];6.800000;8.292000;8.292000
tm1001097;Beauty;MOVIE;2022;R;['drama', 'music', 'romance'];3.900000;87.939003;87.939003
tm1001619;Man in Love;MOVIE;2021;;['romance', 'drama'];6.900000;3.611000;3.611000
tm1002408;Biking Borders - eine etwas andere Reise;MOVIE;2021;;['documentation'];7.700000;1.129000;1.129000
tm1002869;Fate: The Winx Saga - The Afterparty;MOVIE;2021;PG-13;['fantasy', 'reality', 'comedy'];6.200000;6.557000;6.557000
tm1002815;Nightbooks;MOVIE;2021;;['family', 'fantasy', 'horror'];5.700000;80.549004;80.549004
tm1001267;Secret Magic Control Agency;MOVIE;2021;;['comedy', 'family', 'fantasy', 'animation'];6.200000;47.668999;47.668999
tm100106;My Amnesia Girl;MOVIE;2010;;['comedy', 'romance'];6.700000;2.228000;2.228000
