id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
ts300399;Five Came Back: The Reference Films;SHOW;1945;TV-MA;['documentation'];;0,6;
tm84618;Taxi Driver;MOVIE;1976;R;['drama', 'crime'];8,2;40,965;8,179
tm154986;Deliverance;MOVIE;1972;R;['drama', 'action', 'thriller', 'european'];7,7;10,01;7,3
tm127384;Monty Python and the Holy Grail;MOVIE;1975;PG;['fantasy', 'action', 'comedy'];8,2;15,461;7,811
tm120801;The Dirty Dozen;MOVIE;1967;;['war', 'action'];7,7;20,398;7,6
ts22164;Monty Python's Flying Circus;SHOW;1969;TV-14;['comedy', 'european'];8,8;17,617;8,306
tm70993;Life of Brian;MOVIE;1979;R;['comedy'];8;17,77;7,8
tm14873;Dirty Harry;MOVIE;1971;R;['thriller', 'action', 'crime'];7,7;12,817;7,5
tm119281;Bonnie and Clyde;MOVIE;1967;R;['crime', 'drama', 'action'];7,7;15,687;7,5
tm98978;The Blue Lagoon;MOVIE;1980;R;['romance', 'action', 'drama'];5,8;50,324;6,156
tm44204;The Guns of Navarone;MOVIE;1961;;['action', 'drama', 'war'];7,5;13,844;7,3
tm67378;The Professionals;MOVIE;1966;PG-13;['western', 'action', 'european'];7,3;13,123;7,1
tm69997;Richard Pryor: Live in Concert;MOVIE;1979;R;['comedy', 'documentation'];8,1;4,718;7,5
tm16479;White Christmas;MOVIE;1954;;['romance', 'comedy'];7,5;8,915;7,2
tm135083;Cairo Station;MOVIE;1958;;['drama', 'crime', 'comedy'];7,5;5,546;7,3
tm89386;Hitler: A Career;MOVIE;1977;PG;['history', 'documentation', 'european'];7,5;4,305;7,3
tm156453;FTA;MOVIE;1972;R;['war', 'documentation', 'music', 'comedy'];6,2;1,268;6,1
tm14350;Alexandria� Why?;MOVIE;1979;;['drama'];7,2;1,37;6
tm81728;The Land;MOVIE;1969;;['drama'];8,1;1,265;8,5
tm94651;Dostana;MOVIE;1980;;['drama', 'comedy', 'crime', 'romance', 'action'];2,1;3,98;4,9
tm27298;Saladin the Victorious;MOVIE;1963;;['action', 'drama', 'war', 'history', 'romance'];7,6;4,156;7,1
tm100027;Alibaba Aur 40 Chor;MOVIE;1979;;['drama', 'romance', 'action', 'fantasy', 'family'];6,2;2,582;6,8
tm19608;The Blazing Sun;MOVIE;1954;;['crime', 'romance', 'drama'];7,4;2,184;7
tm204541;Dark Waters;MOVIE;1956;;['action', 'drama', 'romance', 'thriller'];6,7;0,849;5,9
tm259855;We Are All for the Fatherland;MOVIE;1979;;['documentation'];6,1;0,6;5,2
tm356209;Singapore;MOVIE;1960;;['drama', 'thriller', 'crime'];6,4;0,792;6,3
ts45948;Monty Python's Fliegender Zirkus;SHOW;1972;TV-MA;['comedy'];8,1;1,487;7
tm200475;Beirut, Oh Beirut;MOVIE;1975;;['drama'];6,4;1,025;7,2
tm90896;The Return of the Prodigal Son;MOVIE;1976;;['music', 'drama', 'crime'];7,2;1,858;5,3
tm336403;Khoon Khoon;MOVIE;1973;;['crime', 'thriller'];5,1;1,948;3,8
tm107372;Manoranjan;MOVIE;1974;;['romance', 'drama', 'comedy'];6,5;1,532;5,3
tm358653;Ujala;MOVIE;1959;;['romance', 'crime', 'drama'];6,6;0,84;6
tm259684;Whispers;MOVIE;1980;;['documentation'];7,8;0,6;5
tm403346;Chadi Jawani Budhe Nu;MOVIE;1976;;['romance'];4,6;0,62;6
tm16812;Bandie;MOVIE;1978;;['drama', 'action', 'romance'];4,4;1,166;6
ts20681;Seinfeld;SHOW;1989;TV-PG;['comedy'];8,9;130,213;8,301
tm155787;GoodFellas;MOVIE;1990;R;['drama', 'crime'];8,7;50,387;8,463
tm22327;Full Metal Jacket;MOVIE;1987;R;['war', 'drama'];8,3;32,937;8,1
tm180542;Once Upon a Time in America;MOVIE;1984;R;['crime', 'drama', 'european'];8,3;28,937;8,453
tm138875;When Harry Met Sally...;MOVIE;1989;R;['comedy', 'romance', 'drama'];7,7;15,123;7,4
tm2386;A Nightmare on Elm Street;MOVIE;1984;R;['horror'];7,4;48,358;7,3
tm133087;Steel Magnolias;MOVIE;1989;PG;['comedy', 'drama', 'romance'];7,3;11,69;7,2
tm177480;Police Academy;MOVIE;1984;R;['crime', 'comedy'];6,7;25,533;6,6
tm54450;Christine;MOVIE;1983;R;['horror', 'thriller', 'european'];6,7;23,418;6,8
ts22082;Knight Rider;SHOW;1982;TV-PG;['scifi', 'action', 'crime', 'drama'];6,9;50,267;7,5
ts21715;Thomas & Friends;SHOW;1984;TV-Y;['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music'];6,5;42,196;6,5
ts20678;Saved by the Bell;SHOW;1989;TV-G;['family', 'comedy', 'romance'];7,1;19,855;8
tm145608;Awakenings;MOVIE;1990;PG-13;['drama', 'european'];7,8;12,23;7,8
ts25028;Wheel of Fortune;SHOW;1983;TV-G;['family'];6,7;5,935;6,8
tm147710;National Lampoon's Christmas Vacation;MOVIE;1989;PG-13;['comedy', 'european'];7,5;18,862;7,2
tm142895;Lean On Me;MOVIE;1989;PG-13;['drama'];7,4;19,449;7,3
tm20712;Eddie Murphy Raw;MOVIE;1987;R;['comedy', 'documentation'];7,6;7,992;7,3
tm117580;She's Gotta Have It;MOVIE;1986;R;['romance', 'comedy'];6,7;7,416;6,707
ts23753;Major Dad;SHOW;1989;TV-PG;['comedy', 'family'];6,5;9,849;6,5
tm130586;Endless Love;MOVIE;1981;R;['romance', 'drama'];4,9;19,116;5,7
ts987;Danger Mouse;SHOW;1981;TV-Y;['animation', 'comedy', 'family', 'scifi', 'european'];7,4;8,55;7,5
tm721687;Vaashi;MOVIE;1983;;['drama', 'thriller'];6,7;3,79;
tm40103;Mobile Suit Gundam: Char's Counterattack;MOVIE;1988;;['scifi', 'animation', 'action', 'drama', 'war'];7,3;8,092;6,7
tm125985;Mobile Suit Gundam II: Soldiers of Sorrow;MOVIE;1981;;['animation', 'scifi', 'action', 'drama', 'war'];7,2;13,125;7,2
ts2760;Fireman Sam;SHOW;1987;TV-Y;['animation', 'comedy', 'family', 'crime', 'european'];6,1;37,647;7,2
tm21953;Sam Kinison: Breaking the Rules;MOVIE;1987;R;['comedy', 'documentation'];7,2;1,843;7,2
tm126769;Waiting for the Hearse;MOVIE;1985;;['comedy'];8;7,81;8,1
tm152839;Tim Allen: Men Are Pigs;MOVIE;1990;;['comedy', 'documentation'];6,1;2,482;6,3
tm49037;Mobile Suit Gundam III: Encounters in Space;MOVIE;1982;;['action', 'drama', 'war', 'animation', 'scifi'];7,6;12,741;7,5
tm62924;Monty Python Live at the Hollywood Bowl;MOVIE;1982;R;['comedy', 'documentation'];7,9;6,833;7,4
tm52815;Disco Dancer;MOVIE;1982;;['drama', 'romance'];6,4;7,879;5,3
tm159912;Agneepath;MOVIE;1990;;['drama', 'action', 'crime'];7,6;4,062;6,5
tm133914;Parrot Sketch Not Included: Twenty Years of Monty Python;MOVIE;1989;;['comedy'];8,1;1,801;6,9
tm38736;Too Young The Hero;MOVIE;1988;;['drama', 'war'];6,7;1,485;6,2
tm51083;A Stoning in Fulham County;MOVIE;1988;;['thriller', 'crime', 'drama'];5,9;1,01;5,8
tm137013;The Ryan White Story;MOVIE;1989;;['drama'];7,2;1,981;5,9
tm157603;Dil;MOVIE;1990;;['drama', 'comedy', 'romance'];6,6;3,992;6,5
tm258072;Adam: His Song Continues;MOVIE;1986;;['crime', 'drama'];7;1,603;7
tm114356;The George McKenna Story;MOVIE;1988;;['drama'];6;2,296;6,1
tm157853;In Defense of a Married Man;MOVIE;1990;;['drama', 'crime'];5,6;2,444;4,9
tm132164;Bill Hicks: Sane Man;MOVIE;1989;R;['comedy'];;3,377;7,5
tm446654;Mujrim;MOVIE;1989;;['drama', 'action', 'crime'];5,4;1,418;6
tm348735;Aakhri Adaalat;MOVIE;1988;;['action', 'crime', 'thriller'];5,1;1,374;5
tm151332;Alexandria, Again and Forever;MOVIE;1989;;['drama'];6,5;0,817;5,3
tm342996;Duniya;MOVIE;1984;;['action', 'drama'];6,3;1,394;
tm24110;Strange Voices;MOVIE;1987;;['drama'];6,3;2,76;6,8
tm371359;Jaal;MOVIE;1986;;['action', 'drama', 'thriller'];5,2;3,366;5
tm55091;Quiet Victory: The Charlie Wedemeyer Story;MOVIE;1988;;['drama'];7,2;2,246;8
ts63001;High Risk;SHOW;1988;TV-PG;['comedy'];3,8;1,4;
tm311264;Muqaddar Ka Faisla;MOVIE;1987;;['action', 'comedy', 'drama', 'family'];4,8;2,236;
tm411457;Pyar Ke Do Pal;MOVIE;1986;;['drama', 'action'];6,1;1,756;
tm172482;Sohni Mahiwal;MOVIE;1984;;['romance', 'drama', 'action'];6,1;6,052;5,8
tm419052;Ek Jaan Hain Hum;MOVIE;1983;;['family', 'romance'];6,3;0,986;7
tm47673;An Egyptian Story;MOVIE;1982;;['drama', 'fantasy'];7,3;1,77;6,7
tm52274;The Little Wars;MOVIE;1982;;['war', 'drama', 'european'];6,3;1,956;5,5
tm147829;Unspeakable Acts;MOVIE;1990;;['drama'];6,1;2,075;5,3
ts20981;Survivor;SHOW;2000;TV-PG;['reality'];7,4;54,19;7,4
tm107744;Mission: Impossible;MOVIE;1996;PG-13;['thriller', 'action'];7,1;41,115;6,9
ts22176;Stargate SG-1;SHOW;1997;TV-PG;['scifi', 'drama', 'action'];8,4;88,851;8,3
tm15897;Se7en;MOVIE;1995;R;['crime', 'thriller', 'drama'];8,6;51,633;8,352
ts21223;Pok�mon;SHOW;1997;TV-Y7;['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family'];7,4;115,356;7,633
tm191013;Boogie Nights;MOVIE;1997;R;['drama'];7,9;20,436;7,6
tm122434;Forrest Gump;MOVIE;1994;PG-13;['drama', 'romance'];8,8;63,449;8,478
tm25947;Snatch;MOVIE;2000;R;['crime', 'comedy'];8,3;25,203;7,8
tm43808;The Talented Mr. Ripley;MOVIE;1999;R;['thriller', 'drama', 'crime'];7,4;13,78;7,2
ts20339;One Piece;SHOW;1999;TV-14;['animation', 'action', 'comedy', 'drama', 'fantasy'];8,8;143,457;8,764
ts5145;The Challenge;SHOW;1998;TV-14;['reality', 'comedy', 'drama', 'scifi'];7,8;18,075;7,7
tm191110;Titanic;MOVIE;1997;PG-13;['drama', 'romance'];7,9;155,683;7,878
ts34435;Cowboy Bebop;SHOW;1998;TV-14;['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller'];8,9;35,402;8,522
tm192037;Starship Troopers;MOVIE;1997;R;['scifi', 'action', 'thriller'];7,3;29,5;6,993
tm27395;Mission: Impossible II;MOVIE;2000;PG-13;['thriller', 'action'];6,1;29,392;6,1
tm113513;Dumb and Dumber;MOVIE;1994;PG-13;['comedy'];7,3;31,852;6,6
ts20983;Neon Genesis Evangelion;SHOW;1995;TV-14;['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller'];8,5;49,27;8,637
tm192405;Gattaca;MOVIE;1997;PG-13;['scifi', 'thriller', 'romance', 'drama'];7,8;17,789;7,553
tm116655;L�on: The Professional;MOVIE;1994;R;['crime', 'drama', 'action', 'thriller', 'european'];8,5;51,406;8,323
ts21567;Gilmore Girls;SHOW;2000;TV-14;['comedy', 'drama'];8,2;58,578;7,827
tm116488;Natural Born Killers;MOVIE;1994;R;['thriller', 'drama', 'crime', 'action'];7,3;21,933;7,1
tm11556;The Quick and the Dead;MOVIE;1995;R;['action', 'thriller', 'western', 'romance'];6,5;13,056;6,5
tm56574;You've Got Mail;MOVIE;1998;PG;['comedy', 'romance', 'drama'];6,7;21,724;6,643
ts20960;Power Rangers;SHOW;1993;TV-Y7;['action', 'scifi', 'fantasy', 'family'];6,5;19,699;6,8
tm53991;Big Daddy;MOVIE;1999;PG-13;['drama', 'comedy', 'european'];6,4;26,848;6,45
tm49178;Vampires;MOVIE;1998;R;['fantasy', 'action', 'horror', 'thriller'];6,1;10,108;6,3
ts25252;Yu-Gi-Oh!;SHOW;1998;TV-Y;['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama'];7,3;33,504;7,358
tm191989;Donnie Brasco;MOVIE;1997;R;['drama', 'thriller', 'crime'];7,7;22,225;7,5
ts22193;The Magic School Bus;SHOW;1994;TV-Y;['animation', 'scifi', 'comedy', 'family', 'fantasy'];7,8;16,83;7,8
ts22489;Goosebumps;SHOW;1995;TV-PG;['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music'];7,6;63,687;7,9
ts21034;InuYasha;SHOW;2000;TV-14;['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama'];7,9;62,355;8,6
tm121879;A River Runs Through It;MOVIE;1992;PG;['drama'];7,2;19,58;7,1
tm44402;Girl, Interrupted;MOVIE;1999;R;['drama', 'european'];7,3;20,424;7,6
tm187187;Last Action Hero;MOVIE;1993;PG-13;['action', 'fantasy', 'comedy', 'family'];6,4;22,196;6,379
ts16919;All That;SHOW;1994;TV-G;['comedy', 'family', 'music'];7,5;6,688;8,4
tm6859;My Girl;MOVIE;1991;PG;['drama', 'family', 'romance', 'comedy', 'european'];6,9;20,545;7,4
tm118238;Wyatt Earp;MOVIE;1994;PG-13;['western', 'crime', 'action', 'drama'];6,7;14,677;6,751
tm111163;Eraser;MOVIE;1996;R;['thriller', 'action', 'drama', 'crime'];6,1;19,437;6
tm190835;Neon Genesis Evangelion: The End of Evangelion;MOVIE;1997;;['action', 'drama', 'animation', 'scifi', 'fantasy'];8;32,569;8,4
tm192769;Vegas Vacation;MOVIE;1997;PG;['comedy'];5,9;12,537;6,1
tm187791;In the Line of Fire;MOVIE;1993;R;['drama', 'thriller', 'crime', 'action'];7,2;19,8;6,973
tm113576;Little Women;MOVIE;1994;PG;['drama', 'romance', 'family'];7,3;13,683;7,314
tm65686;U.S. Marshals;MOVIE;1998;PG-13;['thriller', 'crime', 'action'];6,5;24,205;6,5
ts8570;Barney & Friends;SHOW;1992;TV-G;['comedy', 'family'];3,8;14,641;4,9
tm191387;Anaconda;MOVIE;1997;PG-13;['horror', 'thriller', 'action'];4,8;34,405;5,1
ts27693;Kenan & Kel;SHOW;1996;TV-Y7;['family', 'comedy'];7,8;33,544;8,3
tm19494;The Replacements;MOVIE;2000;PG-13;['comedy', 'sport'];6,6;30,982;6,6
tm191772;Seven Years in Tibet;MOVIE;1997;PG-13;['action', 'drama', 'history', 'war'];7,1;13,766;7,2
tm12499;The Net;MOVIE;1995;PG-13;['thriller', 'action', 'crime', 'drama'];5,9;15,935;6
tm186589;Cliffhanger;MOVIE;1993;R;['action', 'thriller', 'comedy', 'animation'];6,5;27,78;6,5
tm189764;Menace II Society;MOVIE;1993;R;['drama', 'crime', 'thriller'];7,5;13,928;7,542
tm10739;Johnny Mnemonic;MOVIE;1995;R;['action', 'drama', 'scifi', 'thriller'];5,6;10,75;5,7
tm1822;3 Ninjas Kick Back;MOVIE;1994;PG;['comedy', 'family', 'action', 'sport'];4,5;12,603;5,5
tm55369;Edge of Seventeen;MOVIE;1998;R;['romance', 'drama', 'comedy'];6,8;6,276;6,5
ts251477;My First Errand;SHOW;1991;TV-G;['documentation', 'family', 'reality'];;7,73;7,8
tm192431;The Devil's Own;MOVIE;1997;R;['crime', 'thriller', 'drama', 'action', 'european'];6,2;12,863;6,1
